LAST SEEN   TYPE      REASON              OBJECT                               MESSAGE
116s        Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-85694b4487 from 0 to 1
113s        Normal    Scheduled           pod/user-service-85694b4487-ffj2g    Successfully assigned stock-trading/user-service-85694b4487-ffj2g to desktop-worker
113s        Normal    SuccessfulCreate    replicaset/user-service-85694b4487   Created pod: user-service-85694b4487-ffj2g
112s        Normal    Pulling             pod/user-service-85694b4487-ffj2g    Pulling image "ttl.sh/stock-trading-matrix-signed-c853c0f8a3b5@sha256:8d87c68bf36634dbcd4d161ac23ac4ec22f81f326f45b820e6564e127493db8f"
110s        Normal    Started             pod/user-service-85694b4487-ffj2g    Started container user-service
110s        Normal    Created             pod/user-service-85694b4487-ffj2g    Created container: user-service
110s        Normal    Pulled              pod/user-service-85694b4487-ffj2g    Successfully pulled image "ttl.sh/stock-trading-matrix-signed-c853c0f8a3b5@sha256:8d87c68bf36634dbcd4d161ac23ac4ec22f81f326f45b820e6564e127493db8f" in 2.52s (2.52s including waiting). Image size: 15287401 bytes.
97s         Normal    Killing             pod/user-service-85694b4487-ffj2g    Stopping container user-service
83s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-85c4fcdcd5 from 0 to 1
83s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
83s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
82s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
82s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
62s         Warning   FailedCreate        replicaset/user-service-85c4fcdcd5   (combined from similar events): Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-55454d7c47   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-55454d7c47   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-55454d7c47   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-55454d7c47   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-55454d7c47   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-55454d7c47   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-55454d7c47   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-55454d7c47 from 0 to 1
38s         Warning   FailedCreate        replicaset/user-service-55454d7c47   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
38s         Warning   FailedCreate        replicaset/user-service-55454d7c47   Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
18s         Warning   FailedCreate        replicaset/user-service-55454d7c47   (combined from similar events): Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
